,customer_id,first_name,last_name,email,phone,dob,nationality,region,country_of_residence,occupation,customer_type,account_creation_date
0,CUST655,Jason,Simmons,jasonsimmons114@gmail.com,+917026855092,1992-07-17,Indain,Thrissur,United States,Working Professional,Regular,2023-01-20
1,CUST143,Robert,Stewart,robertstewart754@gmail.com,+917110053353,1972-04-01,Indain,Pathanamthitta,Belgium,Student,New,2022-08-28
2,CUST433,Michael,Turner,michaelturner32@gmail.com,+917031994523,1994-09-25,Indain,Ernakulam,Malaysia,Working Professional,New,2022-09-22
3,CUST617,Alexander,Benson,alexanderbenson27@gmail.com,+917602632297,1999-07-25,Indain,Kannur,Denmark,Retired,Regular,2024-06-01
4,CUST460,Megan,Tran,megantran603@gmail.com,+917298704996,1994-08-29,Indain,Thiruvananthapuram,United Arab Emirates,Working Professional,New,2024-09-22
5,CUST433,Brenda,Peterson,brendapeterson348@gmail.com,+917298362082,1967-09-21,Indain,Idukki,Malaysia,Business,Regular,2023-05-18
6,CUST95,Mark,Walker,markwalker389@gmail.com,+917103848421,1973-08-23,Indain,Kollam,Australia,Business,Regular,2021-01-16
7,CUST748,David,Mendez,davidmendez470@gmail.com,+917575770529,1994-02-20,Indain,Ernakulam,South Africa,Student,New,2020-08-10
8,CUST301,Daniel,Soto,danielsoto849@gmail.com,+917674996843,1973-10-31,Indain,Palakkad,Australia,Working Professional,New,2020-12-17
9,CUST72,Natalie,Carpenter,nataliecarpenter46@gmail.com,+917710026086,1985-12-03,Indain,Kannur,Austria,Business,Regular,2020-03-02
10,CUST239,Alexis,Joseph,alexisjoseph887@gmail.com,+917108449460,1991-06-25,Indain,Kottayam,United States,Retired,New,2022-11-11
11,CUST374,Jasmine,Johnson,jasminejohnson166@gmail.com,+917397478786,2006-05-18,Indain,Kollam,Malaysia,Business,New,2021-05-02
12,CUST700,Heather,Sanchez,heathersanchez663@gmail.com,+917076667861,1971-05-10,Indain,Palakkad,Switzerland,Working Professional,New,2023-06-14
13,CUST747,Luke,Kim,lukekim250@gmail.com,+917175452091,1975-10-26,Indain,Kozhikode,South Africa,Business,New,2022-04-18
14,CUST705,Nancy,Sanchez,nancysanchez570@gmail.com,+917235809993,1966-01-27,Indain,Pathanamthitta,Canada,Student,Regular,2023-08-19
15,CUST33,Antonio,Mahoney,antoniomahoney824@gmail.com,+917338715135,2000-05-13,Indain,Kottayam,United States,Student,Regular,2023-01-25
16,CUST581,Cory,Richmond,coryrichmond897@gmail.com,+917770854579,2001-12-14,Indain,Kollam,Malaysia,Retired,VIP,2023-04-13
17,CUST659,Kelsey,Fisher,kelseyfisher469@gmail.com,+917153407200,1985-01-06,Indain,Kasaragod,Oman,Working Professional,New,2023-04-28
18,CUST575,Kevin,Adams,kevinadams551@gmail.com,+917282116655,2003-09-17,Indain,Thrissur,Sweden,Retired,New,2020-03-11
19,CUST409,Matthew,Lynch,matthewlynch370@gmail.com,+917235493870,1969-10-18,Indain,Idukki,France,Retired,Regular,2020-06-25
20,CUST49,Nancy,Johnson,nancyjohnson881@gmail.com,+917117734861,1999-12-08,Indain,Idukki,Switzerland,Working Professional,New,2021-01-10
21,CUST433,Sandra,Myers,sandramyers610@gmail.com,+917068212356,1986-05-22,Indain,Kottayam,South Africa,Retired,New,2023-03-01
22,CUST258,Mary,Jordan,maryjordan994@gmail.com,+917594021782,1991-03-10,Indain,Wayanad,United Arab Emirates,Student,New,2020-05-26
23,CUST550,Kathryn,Palmer,kathrynpalmer768@gmail.com,+917286501362,1993-01-29,Indain,Thiruvananthapuram,Switzerland,Business,Regular,2025-04-01
24,CUST301,Jessica,Navarro,jessicanavarro445@gmail.com,+917169820594,1974-07-15,Indain,Kozhikode,United Arab Emirates,Business,New,2020-10-28
25,CUST183,Eric,Turner,ericturner519@gmail.com,+917979926683,1967-07-26,Indain,Ernakulam,Switzerland,Business,New,2024-04-13
26,CUST520,John,Reilly,johnreilly623@gmail.com,+917213579170,2001-12-31,Indain,Idukki,Australia,Working Professional,New,2021-10-19
27,CUST544,Rebecca,Stewart,rebeccastewart940@gmail.com,+917000614068,1967-01-31,Indain,Palakkad,Canada,Retired,Regular,2024-04-21
28,CUST115,Joseph,Mcknight,josephmcknight951@gmail.com,+917389747629,2003-03-09,Indain,Wayanad,Luxembourg,Business,Regular,2020-07-09
